credit_id,customer_id,credit_type,principal_amount,outstanding_balance,interest_rate,disbursement_date,maturity_date,collectibility,branch_code,status
5064,6326,Personal Loan,171988108,68171211,12.49,2021-11-30,2028-08-09,CURRENT,BDG01,ACTIVE
5065,620,Personal Loan,209254760,139576247,11.54,2017-07-22,2027-04-16,SUBSTANDARD,BDG01,RESTRUCTURED
5066,4568,Working Capital,322393186,214551289,10.29,2019-09-14,2028-05-12,CURRENT,SMG01,ACTIVE
5067,1191,Mortgage,1167839440,797049459,10.23,2018-06-19,2028-04-10,CURRENT,MDN01,ACTIVE
5068,591,Personal Loan,84542581,59045046,15.23,2024-09-19,2031-01-31,SPECIAL_MENTION,MDN01,ACTIVE
5069,2374,Credit Card,20202321,448766,20.3,2024-11-12,2026-02-25,CURRENT,SMG01,CLOSED
5070,3014,Mortgage,824634531,422812739,5.51,2025-02-08,2039-05-01,CURRENT,JKT02,ACTIVE
5071,672,Personal Loan,104846284,60831476,15.93,2017-03-01,2028-08-24,CURRENT,SMG01,ACTIVE
5072,9088,Auto Loan,157692618,97094651,6.93,2025-07-04,2032-12-12,CURRENT,SBY01,ACTIVE
5073,6775,Personal Loan,169606359,156275087,10.64,2019-05-24,2026-10-17,CURRENT,MDN01,ACTIVE
5074,5724,Mortgage,883700308,488438966,7.03,2020-04-11,2033-04-20,CURRENT,JKT01,ACTIVE
5075,9630,Auto Loan,371131540,291848964,5.78,2020-08-05,2028-04-09,CURRENT,SBY01,ACTIVE
5076,4506,Working Capital,243316089,189724371,9.74,2016-03-12,2027-05-04,CURRENT,YGY01,ACTIVE
5077,4945,Credit Card,78113809,66033680,22.49,2021-11-28,2028-07-31,CURRENT,BDG01,ACTIVE
5078,8243,Mortgage,1018826095,568566509,6.83,2024-03-31,2042-09-28,SPECIAL_MENTION,MDN01,ACTIVE
5079,7506,Credit Card,70897699,231944,18.43,2017-08-01,2020-11-27,CURRENT,SBY01,CLOSED
5080,3799,Working Capital,383116431,229757223,11.74,2022-11-28,2026-12-05,SPECIAL_MENTION,SMG01,ACTIVE
5081,1517,Working Capital,451881240,366194863,9.03,2023-10-10,2027-01-17,CURRENT,MDN01,ACTIVE
5082,8353,Personal Loan,171433047,105429922,11.49,2023-01-20,2029-02-09,SPECIAL_MENTION,JKT01,ACTIVE
5083,2504,Working Capital,680095135,596216,12.81,2021-06-07,2026-01-02,CURRENT,YGY01,CLOSED
5084,4009,Credit Card,141610267,97711551,21.02,2020-12-09,2026-05-07,CURRENT,JKT01,ACTIVE
5085,1719,Mortgage,1095011646,14483768,6.72,2024-02-18,2026-02-08,CURRENT,MDN01,CLOSED
5086,298,Mortgage,421441353,200959958,5.89,2020-01-12,2032-03-10,CURRENT,JKT01,ACTIVE
5087,1203,Mortgage,1085580113,644708085,8.79,2021-09-22,2041-07-23,SUBSTANDARD,BDG01,ACTIVE
5088,4959,Mortgage,1575452328,1172723429,5.85,2016-05-19,2032-05-08,CURRENT,MDN01,ACTIVE
5089,1437,Personal Loan,208527321,95132005,12.08,2016-07-09,2027-11-22,CURRENT,JKT02,ACTIVE
5090,5748,Mortgage,952356173,589303824,8.76,2023-11-16,2043-07-19,CURRENT,SBY01,ACTIVE
5091,5221,Personal Loan,136766778,59514258,9.4,2019-12-17,2028-07-21,CURRENT,SBY01,ACTIVE
5092,3114,Credit Card,64980971,23673240,21.95,2020-02-04,2028-03-28,CURRENT,JKT02,ACTIVE
5093,6804,Personal Loan,119357608,90012480,10.54,2021-05-27,2028-05-23,CURRENT,BDG01,ACTIVE
5094,7990,Auto Loan,250642120,74304404,10.9,2018-11-03,2027-09-05,CURRENT,YGY01,ACTIVE
5095,444,Working Capital,316777253,191297857,10.41,2022-02-16,2026-06-08,SUBSTANDARD,YGY01,ACTIVE
5096,7933,Working Capital,1361957808,26910892,13.57,2024-11-14,2026-02-05,CURRENT,MDN01,CLOSED
5097,1128,Mortgage,1436001579,408795852,8.92,2024-12-21,2031-06-19,CURRENT,YGY01,ACTIVE
5098,2902,Mortgage,1407590294,1023245757,7.57,2024-08-03,2041-04-27,CURRENT,JKT01,ACTIVE
5099,2693,Mortgage,1007728853,645996703,6.73,2021-11-26,2039-03-23,SPECIAL_MENTION,JKT02,ACTIVE
5100,2477,Auto Loan,371428786,199516501,6.77,2022-10-26,2026-11-27,CURRENT,JKT02,ACTIVE
5101,9265,Mortgage,506072298,294464948,7.23,2020-05-11,2040-01-21,CURRENT,JKT02,ACTIVE
5102,5829,Working Capital,2275669960,1992418232,13.51,2023-03-26,2029-02-13,CURRENT,JKT01,ACTIVE
5103,8867,Mortgage,1138186006,749435535,4.91,2025-01-21,2033-09-27,CURRENT,JKT02,ACTIVE
5104,6282,Credit Card,77793526,50495929,22.44,2022-08-20,2027-03-26,CURRENT,JKT02,ACTIVE
5105,9774,Credit Card,84424451,37116561,21.53,2016-09-17,2028-06-30,SPECIAL_MENTION,SBY01,ACTIVE
5106,7175,Auto Loan,504477514,243457045,10.34,2016-03-20,2027-12-18,CURRENT,JKT01,ACTIVE
5107,4959,Mortgage,1288456458,906969410,7.38,2021-05-24,2026-05-26,CURRENT,SBY01,ACTIVE
5108,8935,Auto Loan,272234588,1074582,8.8,2016-01-03,2021-03-08,CURRENT,SMG01,CLOSED
5109,3887,Personal Loan,36166197,33797905,13.13,2016-03-27,2027-03-09,CURRENT,YGY01,ACTIVE
5110,3009,Auto Loan,170231346,139785926,6.84,2018-09-15,2027-07-22,SPECIAL_MENTION,JKT01,ACTIVE
5111,633,Credit Card,64218458,574932,23.11,2017-10-10,2018-12-16,CURRENT,BDG01,CLOSED
5112,5049,Mortgage,806866719,6970735,8.89,2023-11-12,2025-12-28,CURRENT,SMG01,CLOSED
5113,8602,Mortgage,1431183962,575664133,5.29,2016-01-07,2028-01-16,CURRENT,JKT02,ACTIVE
5114,4673,Personal Loan,250771180,149661314,8.62,2021-07-20,2028-11-28,CURRENT,SMG01,ACTIVE
5115,1836,Credit Card,49106022,32612428,19.7,2021-12-09,2026-05-26,DOUBTFUL,JKT01,ACTIVE
5116,5188,Credit Card,100547070,77555227,19.28,2016-12-22,2027-09-08,CURRENT,SMG01,ACTIVE
5117,1036,Credit Card,37114470,28210668,22.77,2020-08-16,2028-03-25,SPECIAL_MENTION,BDG01,ACTIVE
5118,6496,Auto Loan,276993237,233107638,5.48,2023-04-21,2028-07-17,SPECIAL_MENTION,BDG01,ACTIVE
5119,9786,Working Capital,1216025730,883675196,8.24,2021-10-05,2028-03-11,SUBSTANDARD,YGY01,ACTIVE
5120,2319,Mortgage,803078601,544144051,5.73,2018-01-28,2027-02-05,CURRENT,BDG01,ACTIVE
5121,7674,Credit Card,74474262,33748593,19.89,2018-02-28,2028-02-16,SUBSTANDARD,SMG01,ACTIVE
5122,4714,Mortgage,1236390598,722220386,7.61,2017-09-29,2034-07-15,CURRENT,JKT01,ACTIVE
5123,1521,Credit Card,73367850,49564468,18.69,2016-11-30,2027-06-10,SPECIAL_MENTION,MDN01,ACTIVE
5124,2897,Mortgage,1189798485,725404687,9.49,2021-12-07,2029-01-05,SPECIAL_MENTION,MDN01,ACTIVE
5125,9873,Credit Card,31717655,569592,20.7,2023-05-10,2024-11-20,CURRENT,JKT01,CLOSED
5126,9012,Auto Loan,222993368,123978470,10.44,2022-01-10,2026-08-17,CURRENT,MDN01,ACTIVE
5127,8863,Personal Loan,226157799,124030692,10.26,2017-07-30,2027-10-02,CURRENT,SMG01,ACTIVE
5128,223,Personal Loan,340505935,4322357,11.19,2020-03-31,2023-11-30,CURRENT,SMG01,CLOSED
5129,6852,Personal Loan,63931463,1985678,15.58,2016-04-01,2019-10-01,CURRENT,SBY01,CLOSED
5130,8661,Auto Loan,302700040,156814750,9.27,2024-01-13,2031-09-06,CURRENT,BDG01,ACTIVE
5131,9456,Personal Loan,100321412,57072206,14.69,2021-07-14,2027-01-09,CURRENT,JKT02,ACTIVE
5132,5309,Mortgage,352645143,115548590,9.75,2025-12-09,2034-03-01,CURRENT,YGY01,ACTIVE
5133,2038,Credit Card,40448892,29600184,22.28,2022-10-05,2027-04-21,CURRENT,MDN01,ACTIVE
5134,4488,Personal Loan,128615329,75179064,10.9,2025-08-01,2033-03-18,CURRENT,JKT01,ACTIVE
5135,4393,Credit Card,29073580,14220933,18.81,2020-06-25,2026-11-07,CURRENT,JKT01,ACTIVE
5136,2419,Personal Loan,148081249,82576578,16.93,2020-03-07,2027-04-08,CURRENT,MDN01,ACTIVE
5137,7665,Working Capital,230827790,149977412,12.73,2019-09-03,2028-06-18,SPECIAL_MENTION,BDG01,RESTRUCTURED
5138,2129,Auto Loan,235306013,1877632,7.46,2025-01-30,2025-12-31,CURRENT,JKT02,CLOSED
5139,3094,Personal Loan,166620604,916180,11.14,2018-07-08,2024-05-20,CURRENT,MDN01,CLOSED
5140,3692,Mortgage,1053074741,3585108,6.48,2018-11-23,2026-03-23,CURRENT,YGY01,CLOSED
5141,2553,Auto Loan,320491444,166825314,7.64,2023-02-08,2029-10-01,CURRENT,SMG01,ACTIVE
5142,2866,Personal Loan,91842434,69736243,16.66,2023-10-23,2027-07-01,CURRENT,YGY01,ACTIVE
5143,4813,Mortgage,1538822453,1217330138,6.85,2023-12-07,2029-09-25,CURRENT,JKT02,RESTRUCTURED
5144,7371,Personal Loan,179054545,104561299,9.05,2020-03-01,2027-12-21,CURRENT,YGY01,ACTIVE
5145,1581,Personal Loan,236701406,172154783,12.21,2018-10-17,2027-08-06,CURRENT,MDN01,ACTIVE
5146,9261,Mortgage,946691676,404516143,9.38,2017-04-02,2028-02-13,CURRENT,SMG01,ACTIVE
5147,4952,Auto Loan,292362482,194016193,7.4,2019-12-17,2027-07-23,CURRENT,SBY01,ACTIVE
5148,7795,Mortgage,708474893,610991463,10.04,2023-03-22,2035-11-06,CURRENT,SBY01,ACTIVE
5149,8596,Mortgage,716689122,625011605,6.53,2019-02-02,2028-04-07,SUBSTANDARD,YGY01,ACTIVE
5150,6582,Mortgage,1012810148,958773455,5.56,2024-02-01,2030-07-11,CURRENT,BDG01,ACTIVE
5151,86,Personal Loan,75860874,67974574,8.72,2017-08-27,2028-06-07,CURRENT,SMG01,ACTIVE
5152,7508,Auto Loan,247323630,153036172,10.09,2022-05-14,2026-10-15,SUBSTANDARD,SMG01,RESTRUCTURED
5153,2910,Working Capital,1287018734,1050321911,12.66,2025-08-11,2030-12-18,CURRENT,BDG01,ACTIVE
5154,4844,Mortgage,1283709480,579035701,10.02,2022-11-23,2031-07-13,SUBSTANDARD,JKT01,RESTRUCTURED
5155,5977,Mortgage,591747753,424615422,10.22,2021-12-16,2035-03-14,SUBSTANDARD,SBY01,ACTIVE
5156,2961,Credit Card,61221871,26144927,18.66,2025-02-14,2026-03-31,CURRENT,SBY01,ACTIVE
5157,2395,Credit Card,61864194,1115925,19.76,2021-12-22,2026-03-11,CURRENT,SBY01,CLOSED
5158,9664,Credit Card,41396962,33479351,18.77,2025-10-16,2027-03-11,SPECIAL_MENTION,JKT01,ACTIVE
5159,1480,Working Capital,661335582,5566927,8.12,2022-06-17,2024-05-15,CURRENT,MDN01,CLOSED
5160,5835,Mortgage,2217191188,1330753590,5.14,2018-05-15,2030-03-17,CURRENT,SBY01,ACTIVE
5161,8500,Credit Card,66930084,57639327,19.45,2016-07-10,2026-06-02,CURRENT,SMG01,ACTIVE
5162,9971,Credit Card,106679210,80648248,22.18,2019-04-18,2026-10-31,CURRENT,JKT02,ACTIVE
5163,8212,Personal Loan,201930024,151677012,16.17,2025-04-29,2031-02-15,CURRENT,JKT01,ACTIVE
5164,5658,Personal Loan,119086588,70116527,10.9,2018-10-24,2028-01-04,SPECIAL_MENTION,BDG01,ACTIVE
5165,9130,Personal Loan,144726021,93554097,16.22,2017-10-31,2027-04-18,SPECIAL_MENTION,BDG01,ACTIVE
5166,476,Working Capital,980954725,25726431,10.57,2025-02-20,2026-03-03,CURRENT,SBY01,CLOSED
5167,7762,Credit Card,34369044,29302705,20.54,2023-12-11,2026-08-15,CURRENT,MDN01,ACTIVE
5168,685,Mortgage,730412797,18220693,6.06,2025-06-14,2026-01-15,CURRENT,JKT02,CLOSED
5169,9262,Credit Card,76657639,23831354,18.23,2019-10-03,2027-10-17,CURRENT,SBY01,RESTRUCTURED
5170,6450,Personal Loan,69147748,34041543,12.78,2020-02-27,2027-06-14,CURRENT,BDG01,ACTIVE
5171,766,Personal Loan,139266123,87883232,13.95,2025-10-08,2032-07-18,CURRENT,SMG01,ACTIVE
5172,4773,Mortgage,457637581,280656622,7.41,2017-07-14,2030-06-17,SPECIAL_MENTION,SMG01,ACTIVE
5173,9455,Personal Loan,116572289,90556720,15.34,2020-12-15,2027-02-14,SPECIAL_MENTION,JKT02,RESTRUCTURED
5174,4322,Credit Card,44842566,30032133,23.77,2017-08-23,2028-05-30,CURRENT,JKT02,ACTIVE
5175,4347,Personal Loan,67781553,44702948,15.89,2024-12-23,2029-12-16,CURRENT,JKT02,ACTIVE
5176,207,Credit Card,26933347,14410367,21.69,2020-09-22,2026-04-23,CURRENT,JKT01,ACTIVE
5177,2211,Mortgage,1522626949,726773003,8.49,2018-11-08,2033-03-30,CURRENT,SMG01,ACTIVE
5178,6550,Personal Loan,124469810,87760992,8.79,2024-10-31,2029-12-30,CURRENT,SBY01,ACTIVE
5179,1844,Personal Loan,87428183,22410488,9.06,2021-05-27,2028-01-24,CURRENT,JKT01,ACTIVE
5180,350,Personal Loan,47999147,27585678,15.36,2024-02-11,2028-08-27,CURRENT,MDN01,ACTIVE
5181,3648,Mortgage,741502308,480978220,5.11,2020-10-26,2035-06-19,CURRENT,SBY01,ACTIVE
5182,7100,Working Capital,798682360,676171274,13.2,2024-12-28,2026-12-07,CURRENT,JKT01,ACTIVE
5183,7064,Credit Card,94104768,36767450,22.16,2023-08-10,2028-03-17,SPECIAL_MENTION,YGY01,ACTIVE
5184,4741,Auto Loan,131445513,118651403,9.36,2016-08-25,2027-05-28,CURRENT,YGY01,ACTIVE
5185,1671,Mortgage,402668278,201814585,6.51,2024-05-23,2040-12-18,CURRENT,BDG01,ACTIVE
5186,3680,Mortgage,642619635,415620331,7.18,2018-02-08,2031-02-21,CURRENT,JKT02,ACTIVE
5187,3924,Mortgage,1693554122,764362869,6.19,2020-10-09,2034-02-24,CURRENT,JKT02,ACTIVE
5188,3881,Mortgage,1117803424,1094036796,6.23,2017-10-13,2036-08-23,CURRENT,JKT01,ACTIVE
5189,6549,Credit Card,30000313,12046760,19.6,2017-08-06,2027-06-02,CURRENT,MDN01,ACTIVE
5190,9354,Working Capital,1061793884,695140935,13.1,2019-05-04,2026-06-04,SPECIAL_MENTION,BDG01,ACTIVE
5191,3717,Auto Loan,263663874,171953069,6.32,2018-11-14,2027-04-03,SUBSTANDARD,SMG01,RESTRUCTURED
5192,4429,Auto Loan,404251795,210116024,9.76,2018-10-30,2027-02-25,CURRENT,SMG01,ACTIVE
5193,7900,Personal Loan,62819363,25645988,9.87,2020-02-06,2027-08-10,CURRENT,MDN01,ACTIVE
5194,8478,Working Capital,707299112,224953068,8.56,2019-09-23,2026-05-28,CURRENT,MDN01,ACTIVE
5195,9789,Working Capital,387310147,360269094,13.04,2021-01-09,2027-11-16,CURRENT,SBY01,ACTIVE
5196,1182,Credit Card,53233867,26694709,22.54,2017-03-01,2026-06-26,CURRENT,YGY01,ACTIVE
5197,6976,Auto Loan,364182696,306443422,10.61,2024-08-21,2030-01-14,CURRENT,SMG01,ACTIVE
5198,4821,Mortgage,627757138,335757200,9.42,2018-05-31,2029-05-26,CURRENT,SBY01,ACTIVE
5199,9211,Working Capital,737982164,505621709,9.77,2022-10-01,2028-03-29,CURRENT,JKT02,ACTIVE
5200,561,Working Capital,992544262,713063887,11.15,2025-05-31,2032-05-20,CURRENT,YGY01,ACTIVE
5201,771,Personal Loan,158513858,98440560,12.47,2025-08-14,2032-02-27,CURRENT,YGY01,ACTIVE
5202,2825,Auto Loan,217670421,1485421,6.15,2024-04-22,2026-02-17,CURRENT,SMG01,CLOSED
5203,7751,Credit Card,21613547,11342498,20.01,2024-12-30,2026-05-02,CURRENT,JKT02,ACTIVE
5204,8165,Credit Card,29186730,23555743,19.98,2025-05-27,2027-04-28,CURRENT,SBY01,ACTIVE
5205,1872,Credit Card,70566875,41417889,18.72,2023-09-24,2027-02-03,CURRENT,SMG01,ACTIVE
5206,2229,Personal Loan,45574607,29459726,9.46,2016-02-21,2026-08-14,CURRENT,SBY01,ACTIVE
5207,4656,Auto Loan,342081394,211652547,7.65,2021-01-14,2026-06-15,CURRENT,JKT02,RESTRUCTURED
5208,9574,Personal Loan,82301658,54647904,9.79,2019-05-15,2026-10-23,CURRENT,JKT01,ACTIVE
5209,5279,Personal Loan,335079360,3318786,9.79,2018-04-06,2023-11-09,CURRENT,YGY01,CLOSED
5210,2413,Credit Card,30259488,335032,19.69,2019-12-11,2021-05-28,CURRENT,YGY01,CLOSED
5211,1092,Mortgage,807884812,436381609,10.83,2016-08-03,2035-05-25,CURRENT,BDG01,ACTIVE
5212,566,Auto Loan,155106509,5186815,6.01,2022-09-09,2026-01-11,CURRENT,SMG01,CLOSED
5213,631,Mortgage,788782356,631175094,10.81,2018-04-26,2030-08-31,CURRENT,JKT01,ACTIVE
5214,4360,Credit Card,15015937,342397,18.43,2020-09-26,2024-05-24,CURRENT,SBY01,CLOSED
5215,271,Mortgage,1297244249,748895225,5.03,2023-03-14,2031-07-16,CURRENT,SBY01,ACTIVE
5216,5242,Credit Card,74485965,2427709,24.2,2023-08-24,2026-02-26,CURRENT,JKT01,CLOSED
5217,8183,Working Capital,747099577,262177928,12.23,2023-06-09,2028-10-22,CURRENT,YGY01,ACTIVE
5218,3329,Mortgage,357322423,281026898,9.69,2021-11-23,2033-08-04,CURRENT,MDN01,ACTIVE
5219,7947,Credit Card,68414102,37895592,21.86,2023-04-29,2028-01-07,CURRENT,MDN01,ACTIVE
5220,4164,Credit Card,47148798,11215719,18.76,2017-09-17,2026-10-30,CURRENT,YGY01,ACTIVE
5221,5910,Credit Card,88164501,33996,19.79,2024-04-06,2025-06-19,CURRENT,SMG01,CLOSED
5222,5218,Auto Loan,193396609,3446454,9.82,2021-12-29,2024-12-24,CURRENT,JKT02,CLOSED
5223,8140,Mortgage,551493161,339360966,6.66,2023-06-26,2033-09-14,CURRENT,BDG01,ACTIVE
5224,1901,Credit Card,27694907,24524247,20.98,2019-06-15,2028-08-22,CURRENT,JKT01,ACTIVE
5225,8393,Credit Card,64082480,27303759,18.58,2019-05-08,2026-08-13,CURRENT,MDN01,ACTIVE
5226,2423,Working Capital,222791394,74375353,8.09,2022-09-10,2026-10-05,CURRENT,MDN01,ACTIVE
5227,708,Mortgage,1001262001,613817923,9.9,2025-09-30,2033-06-01,CURRENT,YGY01,ACTIVE
5228,9923,Mortgage,1774168292,875471732,8.87,2024-04-19,2041-09-14,CURRENT,BDG01,ACTIVE
5229,1525,Mortgage,606785916,512474713,7.45,2022-06-21,2042-01-23,CURRENT,YGY01,ACTIVE
5230,7570,Credit Card,66697987,1284902,19.94,2025-01-13,2026-02-06,CURRENT,JKT01,CLOSED
5231,3479,Working Capital,1324660300,1025769307,12.83,2016-05-17,2027-07-15,CURRENT,MDN01,ACTIVE
5232,2964,Working Capital,1320284183,1049490679,13.75,2017-02-18,2026-06-26,CURRENT,JKT01,ACTIVE
5233,8032,Mortgage,491895799,3044727,8.32,2025-07-08,2026-03-04,CURRENT,SBY01,CLOSED
5234,8141,Personal Loan,30232988,19922056,9.21,2022-10-08,2029-01-23,CURRENT,JKT01,ACTIVE
5235,4585,Credit Card,23810145,12372698,18.31,2025-08-13,2027-10-28,CURRENT,BDG01,ACTIVE
5236,3037,Working Capital,1171595674,74921,8.51,2021-05-14,2026-03-23,CURRENT,YGY01,CLOSED
5237,178,Working Capital,909548006,631869400,8.07,2018-10-25,2026-08-09,CURRENT,JKT02,ACTIVE
5238,6855,Credit Card,48993988,33771003,20.56,2017-07-25,2027-08-05,SUBSTANDARD,SBY01,RESTRUCTURED
5239,2485,Auto Loan,213409600,142459047,10.92,2024-04-24,2029-07-12,SPECIAL_MENTION,JKT02,ACTIVE
5240,6983,Mortgage,993751359,548658284,6.94,2023-11-06,2033-11-22,CURRENT,BDG01,ACTIVE
5241,3468,Working Capital,181765672,200488,13.07,2017-07-23,2023-06-13,CURRENT,SBY01,CLOSED
5242,1174,Personal Loan,125327923,112609391,11.99,2026-01-09,2031-04-30,CURRENT,JKT01,ACTIVE
